id,name,price,brand,model,ref,mvmt,casem,bracem,yop,cond,sex,size,condition
240,"IWC Portofino Hand-Wound
IW510107","$17,945",IWC,Portofino Hand-Wound,IW510107,,,,2023,Unworn,Men's watch/Unisex,45 mm,
10730,"Hublot Big Bang Unico
Titanium 44mm - 421.NX.1170.RX","$16,000",Hublot,Big Bang Unico,421.NX.1170.RX,,,,2023,New,Men's watch/Unisex,44 mm,
4601,"Seiko Prospex
(セイコー) プロスペックス LXライン スプリングドライブ SBDB037","$4,341",Seiko,Prospex,SBDB037,,,,Unknown,New,,,
5432,"Seiko Neo Classic
SUR344P1 - Neo Classic Quartz Black Dial Men's Watch 40.5mm",$213,Seiko,,SUR344P1,Quartz,Steel,Steel,Unknown,Unworn,Men's watch/Unisex,40.2 mm,
3842,"Oris Big Crown ProPilot GMT
57 Reno GMT limited","$2,022",Oris,Big Crown ProPilot GMT,01 798 7768 4284-Set,,,,2020,Good,Men's watch/Unisex,41 mm,
11733,"Audemars Piguet Royal Oak
15500OR 18K Rose Gold Black Leather Black Index Dial","$66,999",Audemars Piguet,Royal Oak,15500OR.OO.D002CR.01,Automatic,Rose gold,Leather,Unknown,Unworn,,41 mm,
13640,"Cartier Ballon Bleu 33mm
WSBB0002","$4,840",Cartier,Ballon Bleu 33mm,WSBB0002,Quartz,Steel,Crocodile skin,Unknown,Unworn,Women's watch,33 mm,
7125,"Patek Philippe Perpetual Calendar
18K Yellow Gold Ref. 3940J-025","$51,950",Patek Philippe,Perpetual Calendar,,Automatic,Yellow gold,Crocodile skin,2005,Very good,Men's watch/Unisex,36 mm,
3465,"Oris Aquis
\"New York Harbor\"","$2,824",Oris,Aquis,01 733 7766 4187-Set,,,,2023,Unworn,Men's watch/Unisex,41.5 mm,
8520,"Cartier Tank Divan
W6300255 ミニタンクディバン クォーツ レディース 良品 内箱付き_761247 中古","$1,589",Cartier,Tank Divan,W6300255,Quartz,Steel,Leather,Unknown,Good,Women's watch,32 mm,
57109,,"$14,632",Rolex,GMT-Master,16700,,,,1989,,,40 mm,Very good
20931,"Omega Constellation
Auto Vintage Men’s 1963 Serviced + Warranty","$1,971",Omega,Constellation,,,,,1963,Very good,Men's watch/Unisex,35 mm,
10165,"Hublot Classic Fusion Chronograph
Ceramic 45 MM - Black Rubber Strap - Black Dial - 521.CM.1771.RX","$10,000",Hublot,Classic Fusion Chronograph,521.CM.1771.RX,,,,Unknown,,,45 mm,
2920,"Zenith Defy El Primero
21 Ultraviolet","$16,332",Zenith,Defy El Primero,97.9001.9004/80.R922,,,,Unknown,New,Men's watch/Unisex,44 mm,
14206,Seiko Presage,,,,,,,,,,,,
61602,,"$5,428",Rolex,Air King,14000,,,,Unknown,,,34 mm,Very good
1917,"Seiko Presage
Riki Watanabe Automatic Brown Enamel SPB115 SPB115J1 SPB115J Japan Made 100M Men's Watch",$830,Seiko,Presage,SPB115J1,Automatic,Steel,Leather,Unknown,New,Men's watch/Unisex,40 mm,
6802,,"$45,825",Rolex,Day-Date 40,228235,,Rose gold,Rose gold,2023,,,40 mm,Very good
16733,"Breitling Superocean Heritage Chronograph
44 a13313121L1a1","$5,716",Breitling,Superocean Heritage Chronograph,a13313121L1a1,Automatic,Steel,Steel,2023,New,Men's watch/Unisex,44 mm,
5703,"TAG Heuer Formula 1 Calibre 16
 CAZ2012.BA0876","$2,692",TAG Heuer,Formula 1 Calibre 16,CAZ2012.BA0876,Automatic,Steel,Steel,2022 (Approximation),New,Men's watch/Unisex,44 mm,
9502,"Cartier Santos Galbée
Lady steel and gold","$4,384",Cartier,Santos Galbée,1567,,,,2000,Very good,Women's watch,24 x 35 mm,
12851,,"$16,081",Rolex,Datejust 36,126234,,,,Unknown,,,36 mm,Unworn
15162,,"$9,017",Rolex,Explorer,14270,,,,1999,,,36 x 43 mm,Very good
