id,name,price,brand,model,ref,mvmt,casem,bracem,yop,cond,sex,size,condition,price_double
9447,"Audemars Piguet Royal Oak Concept
Gmt Tourbillon White 26580IO","$178,990",Audemars Piguet,Royal Oak Concept,26580IO.OO.D010CA.01,N/A,N/A,N/A,Unknown,Very good,Men's watch/Unisex,44 mm,N/A,178990.0
1529,"Hublot Classic Fusion Aerofusion
Moonphase Titanium Diamonds 45mm",Price on request,Hublot,Classic Fusion Aerofusion,517.NX.0170.LR.1104,Automatic,Titanium,Crocodile skin,2023,Unworn,Men's watch/Unisex,45 mm,N/A,0.0
7433,"Patek Philippe Calatrava
33 mm Originalpapiere 18K Gold Gelbgold Handaufzug Manual Herrenuhr cal.23-300PM","$11,287",Patek Philippe,Calatrava,3537,N/A,N/A,N/A,1970,Very good,Men's watch/Unisex,33 mm,N/A,11287.0
27824,"Omega
良品箱付き OMEGA オメガ オリンピック オフィシャル タイムキーパー K18WG 522.53.38.50.04.001 自動巻き メンズ_715326 中古","$10,566",Omega,N/A,522.53.38.50.04.001,N/A,N/A,N/A,Unknown,Good,Men's watch/Unisex,40 mm,N/A,10566.0
46793,N/A,"$18,499",Rolex,Yacht-Master 40,126621,N/A,Gold/Steel,Gold/Steel,2023,N/A,N/A,40 mm,Unworn,18499.0
156,"Hublot Classic Fusion Chronograph
Bracelet Ceramic King Gold 42mm","$16,896",Hublot,Classic Fusion Chronograph,540.CO.1180.CO,Automatic,Ceramic,N/A,2023,Unworn,Men's watch/Unisex,42 mm,N/A,16896.0
16125,"Omega De Ville
Pt950 オメガ デビル プレステージ 4021.31 メンズ","$4,177",Omega,De Ville,N/A,Manual winding,N/A,N/A,Unknown,Good,Men's watch/Unisex,34 mm,N/A,4177.0
5141,"Hublot Spirit of Big Bang
White",Price on request,Hublot,Spirit of Big Bang,642.NE.2010.RW.1604,Automatic,Titanium,Rubber,2023,New,Men's watch/Unisex,N/A,N/A,0.0
7476,"Tudor Black Bay GMT
79830RB Full Set 12/2021","$4,014",Tudor,Black Bay GMT,79830RB,Automatic,Steel,Steel,2021,Very good,Men's watch/Unisex,41 mm,N/A,4014.0
4395,"IWC Big Pilot
7 days","$9,957",IWC,Big Pilot,IW500901,Automatic,Steel,Leather,2014,Very good,Men's watch/Unisex,46 mm,N/A,9957.0
4300,"Panerai Luminor Submersible
PAM 00984","$12,229",Panerai,Luminor Submersible,PAM 00984,N/A,N/A,N/A,Unknown,Very good,Men's watch/Unisex,47 mm,N/A,12229.0
4672,"TAG Heuer
Connected Golf Edition",Price on request,TAG Heuer,N/A,SBR8080.EB0284,N/A,N/A,N/A,2023 (Approximation),Unworn,Men's watch/Unisex,42 mm,N/A,0.0
