id,name,price,brand,model,ref,mvmt,casem,bracem,yop,cond,sex,size,condition
9945,"Patek Philippe Gondolo
4991R Gondolo Gemma Rose Gold Diamond 1YearrWarranty #1382-1","$14,767",Patek Philippe,Gondolo,,Quartz,Rose gold,Leather,Unknown,Good,Women's watch,37 x 22 mm,
31609,,"$42,828",Rolex,Submariner Date,1680,,Steel,Leather,1969,,,40 mm,Good
15626,"Cartier Rotonde de Cartier
Mysterious Hour Ladies Diamond Watch HPI00636","$59,950",Cartier,Rotonde de Cartier,,Manual winding,White gold,Leather,Unknown,Good,Women's watch,42 mm,
5403,,"$7,727",Rolex,Lady-Datejust,69178,,,,Unknown,,,26 mm,Very good
5553,"Richard Mille RM 035
35-02 Rafa Nadal Diamond Set",Price on request,Richard Mille,RM 035,RM35-02,Automatic,Carbon,,Unknown,Unworn,Men's watch/Unisex,49.94 x 44.5 mm,
6998,"IWC Pilot Mark
パイロットウォッチ マーク18 アントワーヌ ド サンテグジュペリ IW327003 中古 メンズ","$3,874",IWC,Pilot Mark,IW327003,Automatic,Steel,,Unknown,Very good,Men's watch/Unisex,40 mm,
13278,"Breitling Antares
Automatic","$1,839",Breitling,Antares,81970,,,,1990 (Approximation),Good,Men's watch/Unisex,39 mm,
4499,"Zenith Port Royal
GRANDE PORT ROYAL OPEN","$17,224",Zenith,Port Royal,,,,,2008,Very good,Men's watch/Unisex,51 x 36 mm,
12821,"Breitling
ブライトリング BREITLING ナビタイマー アビエーター8 B01 クロノグラフ 43 リミテッド エディションA008C-1WBA","$4,689",Breitling,,,,,,Unknown,Unworn,Men's watch/Unisex,43 mm,
1647,"Longines Master Collection
l2.755.4.78.6","$2,456",Longines,Master Collection,L2.755.4.78.6,Automatic,Steel,Steel,2023,New,Men's watch/Unisex,38.5 mm,
416,"Cartier Santos
35mm","$17,766",Cartier,Santos,WGSA0028,Automatic,Rose gold,Crocodile skin,2023,Unworn,Men's watch/Unisex,35.1 mm,
8747,"Cartier Panthère
1057920 18K Gold Stainless Steel White Dial 24mm","$2,600",Cartier,Panthère,1057920,Quartz,Steel,Gold/Steel,1996 (Approximation),Good,Women's watch,24 mm,
1572,"Longines
Tre Tacche Cal. 10.68Z stepped case orig. 2 tone Dial","$1,937",Longines,,,,,,1937 (Approximation),Good,Men's watch/Unisex,30 x 37 mm,
